id,split,trucks,slots,receivers,edges,demand,seed,budget,certified,crossings,evaluations,seconds
synthetic-1000,train,3,9,3,12,3,1000,1000,1,0,1,2.3164e-05
synthetic-1001,train,4,12,4,20,4,1001,1000,1,0,11,8.4785e-05
synthetic-1002,train,5,15,5,39,5,1002,1000,1,0,4,4.3895e-05
synthetic-1003,train,3,12,6,32,6,1003,1000,1,0,40,0.000372929
synthetic-1004,train,4,11,3,18,3,1004,1000,1,0,1,7.721e-06
synthetic-1005,train,5,14,4,30,4,1005,1000,1,0,12,8.821e-05
synthetic-1006,train,3,11,5,29,5,1006,1000,1,0,4,2.9403e-05
synthetic-1007,train,4,14,6,40,6,1007,1000,1,0,33,0.000329736
synthetic-1008,train,5,13,3,20,3,1008,1000,1,0,2,1.2719e-05
synthetic-1009,train,3,10,4,18,4,1009,1000,1,0,13,7.4089e-05
synthetic-1010,train,4,13,5,32,5,1010,1000,1,0,2,1.9068e-05
synthetic-1011,train,5,16,6,56,6,1011,1000,1,0,141,0.00117125
synthetic-1012,train,3,9,3,9,3,1012,1000,1,0,2,9.244e-06
synthetic-1013,train,4,12,4,28,4,1013,1000,1,0,12,7.7004e-05
synthetic-1014,train,5,15,5,36,5,1014,1000,1,0,22,0.000187546
synthetic-1015,train,3,12,6,30,6,1015,1000,0,-1,0,9.364e-06
synthetic-1016,train,4,11,3,17,3,1016,1000,1,0,2,1.0726e-05
synthetic-1017,train,5,14,4,28,4,1017,1000,1,0,1,8.583e-06
synthetic-1018,val,3,11,5,26,5,1018,1000,1,0,1,8.322e-06
synthetic-1019,val,4,14,6,46,6,1019,1000,1,0,108,0.00101469
synthetic-1020,val,5,13,3,21,3,1020,1000,1,0,3,1.9098e-05
synthetic-1021,val,3,10,4,20,4,1021,1000,1,0,1,7.03e-06
synthetic-1022,val,4,13,5,30,5,1022,1000,1,0,24,0.000198552
synthetic-1023,val,5,16,6,46,6,1023,1000,1,0,54,0.000806798
synthetic-1024,test,3,9,3,12,3,1024,1000,1,0,2,1.0816e-05
synthetic-1025,test,4,12,4,24,4,1025,1000,1,0,3,2.04e-05
synthetic-1026,test,5,15,5,38,5,1026,1000,1,0,10,8.9081e-05
synthetic-1027,ood,8,26,10,146,10,1027,1000,1,0,819,0.0130427
synthetic-1028,ood,8,26,10,130,10,1028,1000,1,0,472,0.00704105
synthetic-1029,ood,8,26,10,128,10,1029,1000,1,0,740,0.0105366
